pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
2kh2	B	B	16	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	29	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	6	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	44	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	45	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	62	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	9	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	8	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	12	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	17	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	38	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	50	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	37	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	60	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	53	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	10	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	48	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	39	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	51	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	72	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	3	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	11	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	36	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	52	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	73	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	41	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	76	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	58	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	B	67	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
6z7y	B	A	0	H | G	peptide | peptide	NA | NA	insulin | insulin	HORMONE	06/02/20	Human insulin in complex with the analytical antibody OXI-005 Fab	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens | homo sapiens	Johansson, E.	2.2	X-RAY DIFFRACTION	0.253	0.217	False	True	IGHV5	IGKV19	Kappa	None	None	None	None	None
6z7y	D	C	0	F | E	peptide | peptide	NA | NA	insulin | insulin	HORMONE	06/02/20	Human insulin in complex with the analytical antibody OXI-005 Fab	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens | homo sapiens	Johansson, E.	2.2	X-RAY DIFFRACTION	0.253	0.217	False	True	IGHV5	IGKV19	Kappa	None	None	None	None	None
5wth	E	D	0	B	protein	NA	vp2	VIRUS	12/12/16	Cryo-EM structure for Hepatitis A virus complexed with FAB	HEPATOVIRUS A; HEPATITIS A VIRUS; MUS MUSCULUS	mus musculus	mus musculus	hepatitis a virus	Wang, X., Zhu, L., Dang, M., Hu, Z., Gao, Q., Yuan, S., Sun, Y., Zhang, B., Ren, J., Walter, T.S., Wang, J., Fry, E.E., Stuart, D.I., Rao, Z.	4.2	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV5	IGKV4	Kappa	None	None	None	None	None
5mhr	P	O	0	E	protein	NA	viral attachment protein sigma 1	IMMUNE SYSTEM	11/25/16	T3D reovirus sigma1 complexed with 9BG5 Fab fragments	REOVIRUS SP.; MUS MUSCULUS	mus musculus	mus musculus	reovirus sp.	Stehle, T., Dietrich, M.H.	3.0	X-RAY DIFFRACTION	0.247	0.212	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None
5mhr	K	J	0	C	protein	NA	viral attachment protein sigma 1	IMMUNE SYSTEM	11/25/16	T3D reovirus sigma1 complexed with 9BG5 Fab fragments	REOVIRUS SP.; MUS MUSCULUS	mus musculus	mus musculus	reovirus sp.	Stehle, T., Dietrich, M.H.	3.0	X-RAY DIFFRACTION	0.247	0.212	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None
5mhr	R	Q	0	A	protein	NA	viral attachment protein sigma 1	IMMUNE SYSTEM	11/25/16	T3D reovirus sigma1 complexed with 9BG5 Fab fragments	REOVIRUS SP.; MUS MUSCULUS	mus musculus	mus musculus	reovirus sp.	Stehle, T., Dietrich, M.H.	3.0	X-RAY DIFFRACTION	0.247	0.212	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None
5mhr	M	L	0	D	protein	NA	viral attachment protein sigma 1	IMMUNE SYSTEM	11/25/16	T3D reovirus sigma1 complexed with 9BG5 Fab fragments	REOVIRUS SP.; MUS MUSCULUS	mus musculus	mus musculus	reovirus sp.	Stehle, T., Dietrich, M.H.	3.0	X-RAY DIFFRACTION	0.247	0.212	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None
5mhr	I	H	0	B	protein	NA	viral attachment protein sigma 1	IMMUNE SYSTEM	11/25/16	T3D reovirus sigma1 complexed with 9BG5 Fab fragments	REOVIRUS SP.; MUS MUSCULUS	mus musculus	mus musculus	reovirus sp.	Stehle, T., Dietrich, M.H.	3.0	X-RAY DIFFRACTION	0.247	0.212	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None
5mhr	N	G	0	F	protein	NA	viral attachment protein sigma 1	IMMUNE SYSTEM	11/25/16	T3D reovirus sigma1 complexed with 9BG5 Fab fragments	REOVIRUS SP.; MUS MUSCULUS	mus musculus	mus musculus	reovirus sp.	Stehle, T., Dietrich, M.H.	3.0	X-RAY DIFFRACTION	0.247	0.212	False	False	IGHV1	IGKV4	Kappa	None	None	None	None	None
3ifp	E	F	0	S	peptide	NA	amyloid beta a4 protein	IMMUNE SYSTEM	07/24/09	X-ray structure of amyloid beta peptide:antibody (Abeta1-7:12B4) complex	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Weis, W.I., Feinberg, H., Basi, G.S., Schenk, D.	2.95	X-RAY DIFFRACTION	0.269	0.235	False	True	IGHV8	IGKV1	Kappa	2.45E-08	-10.38	SPR	25	19923222
3ifp	C	D	0	R	peptide	NA	amyloid beta a4 protein	IMMUNE SYSTEM	07/24/09	X-ray structure of amyloid beta peptide:antibody (Abeta1-7:12B4) complex	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Weis, W.I., Feinberg, H., Basi, G.S., Schenk, D.	2.95	X-RAY DIFFRACTION	0.269	0.235	False	True	IGHV8	IGKV1	Kappa	2.45E-08	-10.38	SPR	25	19923222
3ifp	H	L	0	P	peptide	NA	amyloid beta a4 protein	IMMUNE SYSTEM	07/24/09	X-ray structure of amyloid beta peptide:antibody (Abeta1-7:12B4) complex	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Weis, W.I., Feinberg, H., Basi, G.S., Schenk, D.	2.95	X-RAY DIFFRACTION	0.269	0.235	False	True	IGHV8	IGKV1	Kappa	2.45E-08	-10.38	SPR	25	19923222
3ifp	A	B	0	Q	peptide	NA	amyloid beta a4 protein	IMMUNE SYSTEM	07/24/09	X-ray structure of amyloid beta peptide:antibody (Abeta1-7:12B4) complex	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	homo sapiens	Weis, W.I., Feinberg, H., Basi, G.S., Schenk, D.	2.95	X-RAY DIFFRACTION	0.269	0.235	False	True	IGHV8	IGKV1	Kappa	2.45E-08	-10.38	SPR	25	19923222
5myk	B	A	0	C	peptide	NA	amyloid beta a4 protein	IMMUNE SYSTEM	01/26/17	Structure of Pyroglutamate-Abeta-specific Fab c#17 in complex with murine Abeta-pE3-18PEGb	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	mus musculus	Parthier, C., Piechotta, A., Stubbs, M.T.	1.6	X-RAY DIFFRACTION	0.210	0.173	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
2aju	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/02/05	Cyrstal structure of cocaine catalytic antibody 7A1 Fab'	MUS MUSCULUS	mus musculus	mus musculus		Zhu, X., Wilson, I.A.	1.5	X-RAY DIFFRACTION	0.228	0.181	False	False	IGHV3	IGKV2	Kappa	None	None	None	None	None
5mhs	H	F	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/25/16	T1L reovirus sigma1 complexed with 5C6 Fab fragments	REOVIRUS TYPE 1 (STRAIN LANG); MUS MUSCULUS	mus musculus	mus musculus		Stehle, T., Dietrich, M.H.	3.7	X-RAY DIFFRACTION	0.278	0.261	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
5mhs	N	G	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/25/16	T1L reovirus sigma1 complexed with 5C6 Fab fragments	REOVIRUS TYPE 1 (STRAIN LANG); MUS MUSCULUS	mus musculus	mus musculus		Stehle, T., Dietrich, M.H.	3.7	X-RAY DIFFRACTION	0.278	0.261	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
5mhs	E	D	0	B | A	protein | protein	NA | NA	outer capsid protein sigma-1 | outer capsid protein sigma-1	IMMUNE SYSTEM	11/25/16	T1L reovirus sigma1 complexed with 5C6 Fab fragments	REOVIRUS TYPE 1 (STRAIN LANG); MUS MUSCULUS	mus musculus	mus musculus	reovirus type 1 (strain lang) | reovirus type 1 (strain lang)	Stehle, T., Dietrich, M.H.	3.7	X-RAY DIFFRACTION	0.278	0.261	False	False	IGHV2	IGKV3	Kappa	None	None	None	None	None
2ntf	H	L	0	H	Hapten	OHM	3-OXO-N-[(3S)-2-OXOPYRROLIDIN-3-YL]DODECANAMIDE	IMMUNE SYSTEM	11/07/06	Crystal Structure of a Quorum-Quenching Antibody in Complex with an N-Acyl-L-Homoserine Lactone Analog	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Debler, E.W., Wilson, I.A.	3.18	X-RAY DIFFRACTION	0.265	0.210	False	False	IGHV1	IGLV1	Lambda	3.00E-07	-9.25	Other	37	17400249
2ntf	B	A	0	B	Hapten	OHM	3-OXO-N-[(3S)-2-OXOPYRROLIDIN-3-YL]DODECANAMIDE	IMMUNE SYSTEM	11/07/06	Crystal Structure of a Quorum-Quenching Antibody in Complex with an N-Acyl-L-Homoserine Lactone Analog	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Debler, E.W., Wilson, I.A.	3.18	X-RAY DIFFRACTION	0.265	0.210	False	False	IGHV1	IGLV1	Lambda	3.00E-07	-9.25	Other	37	17400249
4rau	B	A	0	C	protein	NA	platelet factor 4	IMMUNE SYSTEM	09/11/14	crystal structure of RTOFab in complex with human PF4	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Cai, Z., Zhu, Z., Liu, Q., Greene, M.I.	3.74	X-RAY DIFFRACTION	0.284	0.243	False	True	IGHV5	IGKV10	Kappa	None	None	None	None	None
4rau	K	J	0	L	protein	NA	platelet factor 4	IMMUNE SYSTEM	09/11/14	crystal structure of RTOFab in complex with human PF4	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Cai, Z., Zhu, Z., Liu, Q., Greene, M.I.	3.74	X-RAY DIFFRACTION	0.284	0.243	False	True	IGHV5	IGKV10	Kappa	None	None	None	None	None
4rau	Q	P	0	R	protein	NA	platelet factor 4	IMMUNE SYSTEM	09/11/14	crystal structure of RTOFab in complex with human PF4	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Cai, Z., Zhu, Z., Liu, Q., Greene, M.I.	3.74	X-RAY DIFFRACTION	0.284	0.243	False	True	IGHV5	IGKV10	Kappa	None	None	None	None	None
4rau	E	D	0	F	protein	NA	platelet factor 4	IMMUNE SYSTEM	09/11/14	crystal structure of RTOFab in complex with human PF4	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Cai, Z., Zhu, Z., Liu, Q., Greene, M.I.	3.74	X-RAY DIFFRACTION	0.284	0.243	False	True	IGHV5	IGKV10	Kappa	None	None	None	None	None
4rau	H	G	0	I	protein	NA	platelet factor 4	IMMUNE SYSTEM	09/11/14	crystal structure of RTOFab in complex with human PF4	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Cai, Z., Zhu, Z., Liu, Q., Greene, M.I.	3.74	X-RAY DIFFRACTION	0.284	0.243	False	True	IGHV5	IGKV10	Kappa	None	None	None	None	None
4rau	W	V	0	X	protein	NA	platelet factor 4	IMMUNE SYSTEM	09/11/14	crystal structure of RTOFab in complex with human PF4	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Cai, Z., Zhu, Z., Liu, Q., Greene, M.I.	3.74	X-RAY DIFFRACTION	0.284	0.243	False	True	IGHV5	IGKV10	Kappa	None	None	None	None	None
4rau	T	S	0	U	protein	NA	platelet factor 4	IMMUNE SYSTEM	09/11/14	crystal structure of RTOFab in complex with human PF4	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Cai, Z., Zhu, Z., Liu, Q., Greene, M.I.	3.74	X-RAY DIFFRACTION	0.284	0.243	False	True	IGHV5	IGKV10	Kappa	None	None	None	None	None
4rau	N	M	0	O	protein	NA	platelet factor 4	IMMUNE SYSTEM	09/11/14	crystal structure of RTOFab in complex with human PF4	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Cai, Z., Zhu, Z., Liu, Q., Greene, M.I.	3.74	X-RAY DIFFRACTION	0.284	0.243	False	True	IGHV5	IGKV10	Kappa	None	None	None	None	None
7ew5	Q	R	0	b	protein	NA	unknown	VIRAL PROTEIN	05/24/21	immune complex of HPV6 L1 pentamer and neutralizing antibody 13H5	HUMAN PAPILLOMAVIRUS TYPE 6; MUS MUSCULUS	mus musculus	mus musculus	human papillomavirus type 6	Wang, Z.P., Wang, D.N., Gu, Y., Li, S.W.	3.606	X-RAY DIFFRACTION	0.293	0.252	False	False	IGHV14	IGKV6	Kappa	None	None	None	None	None
7ew5	g	j	0	Y	protein	NA	major capsid protein l1	VIRAL PROTEIN	05/24/21	immune complex of HPV6 L1 pentamer and neutralizing antibody 13H5	HUMAN PAPILLOMAVIRUS TYPE 6; MUS MUSCULUS	mus musculus	mus musculus	human papillomavirus type 6	Wang, Z.P., Wang, D.N., Gu, Y., Li, S.W.	3.606	X-RAY DIFFRACTION	0.293	0.252	False	False	IGHV14	IGKV6	Kappa	None	None	None	None	None
7ew5	B	C	0	M	protein	NA	major capsid protein l1	VIRAL PROTEIN	05/24/21	immune complex of HPV6 L1 pentamer and neutralizing antibody 13H5	HUMAN PAPILLOMAVIRUS TYPE 6; MUS MUSCULUS	mus musculus	mus musculus	human papillomavirus type 6	Wang, Z.P., Wang, D.N., Gu, Y., Li, S.W.	3.606	X-RAY DIFFRACTION	0.293	0.252	False	False	IGHV14	IGKV6	Kappa	None	None	None	None	None
7ew5	K	L	0	G	protein	NA	heavy chain of 13h5	VIRAL PROTEIN	05/24/21	immune complex of HPV6 L1 pentamer and neutralizing antibody 13H5	HUMAN PAPILLOMAVIRUS TYPE 6; MUS MUSCULUS	mus musculus	mus musculus	human papillomavirus type 6	Wang, Z.P., Wang, D.N., Gu, Y., Li, S.W.	3.606	X-RAY DIFFRACTION	0.293	0.252	False	False	IGHV14	IGKV6	Kappa	None	None	None	None	None
7ew5	Z	a	0	V	protein	NA	major capsid protein l1	VIRAL PROTEIN	05/24/21	immune complex of HPV6 L1 pentamer and neutralizing antibody 13H5	HUMAN PAPILLOMAVIRUS TYPE 6; MUS MUSCULUS	mus musculus	mus musculus	human papillomavirus type 6	Wang, Z.P., Wang, D.N., Gu, Y., Li, S.W.	3.606	X-RAY DIFFRACTION	0.293	0.252	False	False	IGHV14	IGKV6	Kappa	None	None	None	None	None
7ew5	W	X	0	S	protein	NA	major capsid protein l1	VIRAL PROTEIN	05/24/21	immune complex of HPV6 L1 pentamer and neutralizing antibody 13H5	HUMAN PAPILLOMAVIRUS TYPE 6; MUS MUSCULUS	mus musculus	mus musculus	human papillomavirus type 6	Wang, Z.P., Wang, D.N., Gu, Y., Li, S.W.	3.606	X-RAY DIFFRACTION	0.293	0.252	False	False	IGHV14	IGKV6	Kappa	None	None	None	None	None
